Filename,symmetry_index,aspect_ratio,pixel_ratio,Red Min,Red Max,Red Mean,Green Min,Green Max,Green Mean,Blue Min,Blue Max,Blue Mean,Red Median,Red Std Dev,Green Median,Green Std Dev,Blue Median,Blue Std Dev,Blue Entropy,Green Entropy,Red Entropy,Area-Perimeter Ratio,Contour Perimeter,Hu Moment 1,Hu Moment 2,Hu Moment 3,Hu Moment 4,Hu Moment 5,Hu Moment 6,Hu Moment 7
142,66.64550436689797,0.8133702499188616,0.0185875,15,255,121.80815960546963,1,222,98.07557308035454,1,255,95.10630633863627,115.0,45.28569208774478,95.0,38.088761432847555,91.0,46.5350095654531,7.503797,7.2487864,7.470208,84.93594922344292,5224.578097462654,0.6545193756328894,2.304288465881165,2.4592120145245375,3.40244785379895,6.47428314875833,4.560369915360057,6.493461580524777
143,66.64550436689797,0.8654013739301049,0.008538125,3,255,129.0591220750067,1,255,93.26861715111454,1,255,85.40820430716364,123.0,62.12159286752092,96.0,48.1089226899501,66.0,59.44869963125927,7.573406,7.518525,7.8534403,73.80822826563832,2758.7981013059616,0.7129473462169202,2.510175074486144,3.6524803481384107,4.252370120440651,8.19942157661782,-5.750701597870203,9.202775959293765
144,66.64550436689797,0.7143919484920085,0.00873025,3,255,125.83404923493981,2,255,87.3507555292523,1,255,74.81093027832038,114.0,56.0829894307748,81.0,44.56803437297035,52.0,58.39094748497573,7.4167223,7.368701,7.621261,66.26313113297151,3142.7808562517166,0.7175882275016031,2.513051364209694,2.830475824308668,4.083612370511236,8.689469953961694,-5.611734881899817,7.540140410330848
145,66.64550436689797,0.6860410461241039,0.007945208333333334,1,255,117.02991320764612,1,255,83.2006608276079,1,255,67.12157280842735,109.0,52.96459731722072,77.0,45.2339519763806,50.0,51.82888609185121,7.3646717,7.415225,7.656643,81.80814276609118,2317.5260260105133,0.7604760022364947,2.766592562303885,3.3984221786184645,5.791204766715979,-9.854392360261828,-7.189439183535658,-9.957948197890273
146,66.64550436689797,0.8448497246520306,0.02707825,7,255,116.16701904049683,1,234,96.808002203599,1,247,63.841941736810256,105.0,57.26391698462471,95.0,49.90774445280126,55.0,42.55297867015071,7.1002207,7.595495,7.705099,129.4492118691884,5003.105006575584,0.7436000797989302,3.1789811328764115,3.372681845745189,5.792956331959405,9.861604532711704,-7.563141877039745,-9.924246309026108
147,66.64550436689797,0.6024085635338995,0.02157225,13,255,157.32570393290763,5,255,117.2593223547227,1,255,97.49357338899841,153.0,59.17786279284479,112.0,50.14403697910251,84.0,60.65703037710227,7.6709366,7.643087,7.3485436,132.88482159513364,3882.89267206192,0.7057251620890009,2.030753368688516,3.081374590611044,4.458642964695871,-8.437344578737504,-5.5235242715034065,-8.317079138577094
148,66.64550436689797,0.7694323144104803,0.028808875,5,255,115.87385542360354,1,194,65.96623893940297,1,194,42.80826086830621,117.0,50.11706451468267,60.0,40.359122872638395,33.0,29.99371559975711,6.647396,7.224669,7.6421614,165.2675580672983,4171.7413148880005,0.7465469872576788,2.5131301999873505,3.065370145768116,4.264600281571236,7.929415637275552,5.565293407034873,-8.797336852171389
149,66.64550436689797,0.9806304972623243,0.015237666666666667,12,255,137.95081814801043,6,255,119.98275654627787,5,255,99.60025594469845,128.0,55.827605178291066,120.0,51.80945675873337,83.0,54.23664419298306,7.457363,7.643465,7.683611,83.80324686223682,4337.02766430378,0.6803469650743047,2.450353796685412,2.5790326482576424,3.758261671331561,7.069198583822511,5.004264656256796,-7.084896160984666
150,66.64550436689797,0.7278640453131543,0.01668425,1,255,94.96803863933211,3,254,75.7620810045402,1,255,81.78703557944343,90.0,48.1940332225526,69.0,46.18582690655675,69.0,62.425271889919486,7.600694,7.3801255,7.487235,73.30707465337903,5428.446052193642,0.6986697974601138,2.560277792898421,3.0386174789406395,3.9599959839193786,7.6723431433776375,5.301947557609215,-7.558537093246775
151,66.64550436689797,0.7259110793957992,0.014178833333333333,4,255,109.49046994933762,1,255,79.08324541321475,1,255,73.33948620473892,96.0,60.99285567103733,64.0,54.54797199860022,52.0,59.051245796830145,7.4927783,7.5295258,7.7542562,117.34929193981186,2884.001210451126,0.7475978929539514,2.3185480091565513,4.214758001026078,5.329749645211317,9.747346465434747,6.4945844022840475,-9.979570679017533
